2018-09-18 15:44:04.378 INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2018-09-18 15:44:04.424 INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Tue Sep 18 15:44:04 CST 2018]; root of context hierarchy
2018-09-18 15:44:04.456 INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [applicationContext.xml]
2018-09-18 15:44:04.814 INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-09-18 15:44:05.563 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2018-09-18 15:44:06.172 INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1794 ms
2018-09-18 15:44:06.265 INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'springMVC': initialization started
2018-09-18 15:44:06.265 INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'springMVC-servlet': startup date [Tue Sep 18 15:44:06 CST 2018]; parent: Root WebApplicationContext
2018-09-18 15:44:06.296 INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [springmvc.xml]
2018-09-18 15:44:06.421 INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-09-18 15:44:06.562 INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/test2]}" onto public java.lang.String cn.ncufz.webprotal.controller.FirstDemo.findUserById(org.springframework.web.servlet.ModelAndView)
2018-09-18 15:44:06.562 INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/test1]}" onto public java.lang.String cn.ncufz.webprotal.controller.FirstDemo.testSpring()
2018-09-18 15:44:06.764 INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'springMVC-servlet': startup date [Tue Sep 18 15:44:06 CST 2018]; parent: Root WebApplicationContext
2018-09-18 15:44:06.811 INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'springMVC-servlet': startup date [Tue Sep 18 15:44:06 CST 2018]; parent: Root WebApplicationContext
2018-09-18 15:44:06.920 INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'springMVC': initialization completed in 655 ms
2018-09-18 15:47:04.303 INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2018-09-18 15:47:04.350 INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Tue Sep 18 15:47:04 CST 2018]; root of context hierarchy
2018-09-18 15:47:04.381 INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [applicationContext.xml]
2018-09-18 15:47:04.740 INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-09-18 15:47:05.473 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2018-09-18 15:47:06.050 INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1747 ms
2018-09-18 15:47:06.097 INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'springMVC': initialization started
2018-09-18 15:47:06.097 INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'springMVC-servlet': startup date [Tue Sep 18 15:47:06 CST 2018]; parent: Root WebApplicationContext
2018-09-18 15:47:06.113 INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [springmvc.xml]
2018-09-18 15:47:06.238 INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-09-18 15:47:06.362 INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/test1]}" onto public java.lang.String cn.ncufz.webprotal.controller.FirstDemo.testSpring()
2018-09-18 15:47:06.362 INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/test2]}" onto public java.lang.String cn.ncufz.webprotal.controller.FirstDemo.findUserById(org.springframework.web.servlet.ModelAndView)
2018-09-18 15:47:06.581 INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'springMVC-servlet': startup date [Tue Sep 18 15:47:06 CST 2018]; parent: Root WebApplicationContext
2018-09-18 15:47:06.628 INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'springMVC-servlet': startup date [Tue Sep 18 15:47:06 CST 2018]; parent: Root WebApplicationContext
2018-09-18 15:47:06.737 INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'springMVC': initialization completed in 640 ms
